ID,Age,Salary,Employment Type,Join Date,Complex Info,CI_Part1,CI_Part2,CI_Part3,Comments,Address,Street,City,Country
47,56.0,30641.58,Freelance,2023-06-07 22:34:08.743710,4-DD-789,4,DD,789,,"7093 Main St, California, United Kingdom",7093 Main St,California,UK
48,35.0,47851.12,Contract,2023-12-19 22:34:08.743714,2-BD-353,2,BD,353,Good,"1611 Main St, Florida, United Kingdom",1611 Main St,Florida,UK
49,21.0,66448.21,Full-time,2023-08-02 22:34:08.743717,5-ED-464,5,ED,464,,"2189 Main St, Illinois, Australia",2189 Main St,Illinois,
50,42.0,17131.19,Freelance,2023-02-22 22:34:08.743721,1-AB-103,1,AB,103,Poor,"8681 Main St, Texas, United Kingdom",8681 Main St,Texas,UK
51,31.0,73017.23,Contract,2023-05-31 22:34:08.743725,5-CC-365,5,CC,365,Poor,"1396 Main St, Illinois",1396 Main St,Illinois,
52,67.0,66835.61,Freelance,2023-10-11 22:34:08.743728,5-BE-455,5,BE,455,Average,"4036 Main St, California, USA",4036 Main St,California,USA
53,26.0,43103.53,Part-time,2023-08-16 22:34:08.743732,4-BA-886,4,BA,886,Good,"5123 Main St, Illinois, USA",5123 Main St,Illinois,USA
54,43.0,58150.86,Contract,2023-12-31 00:00:00.000000,3-CC-245,3,CC,245,,"7526 Main St, Texas, United Kingdom",7526 Main St,Texas,UK
55,19.0,50047.22,Part-time,2023-06-16 22:34:08.743740,4-CB-139,4,CB,139,,"4758 Main St, Illinois, United Kingdom",4758 Main St,Illinois,UK
56,37.0,68449.86,Contract,2023-03-07 22:34:08.743743,5-BD-221,5,BD,221,,"1309 Main St, Florida, Canada",1309 Main St,Florida,Canada
57,45.0,64740.25,Full-time,2024-01-05 22:34:08.743747,1-EB-838,1,EB,838,Poor,"5495 Main St, Illinois, Canada",5495 Main St,Illinois,Canada
58,64.0,28998.94,Part-time,2023-11-07 22:34:08.743750,1-EE-304,1,EE,304,Good,"9894 Main St, California",9894 Main St,California,
59,24.0,58808.94,Freelance,2023-11-22 22:34:08.743754,5-DB-643,5,DB,643,Poor,"9502 Main St, Illinois, Canada",9502 Main St,Illinois,Canada
60,61.0,46915.58,Contract,2023-08-07 22:34:08.743758,3-AB-338,3,AB,338,,"2338 Main St, Illinois, Canada",2338 Main St,Illinois,Canada
61,25.0,51242.49,Freelance,2023-09-16 22:34:08.743770,4-EC-304,4,EC,304,Poor,"5973 Main St, California, Australia",5973 Main St,California,
62,64.0,39077.42,Full-time,2023-09-20 22:34:08.743773,3-AB-387,3,AB,387,,"6440 Main St, Illinois, Canada",6440 Main St,Illinois,Canada
63,52.0,76222.06,Contract,2023-08-10 22:34:08.743777,5-AB-337,5,AB,337,,"4851 Main St, Florida, Canada",4851 Main St,Florida,Canada
64,31.0,65600.93,Full-time,2023-07-11 22:34:08.743781,2-EB-726,2,EB,726,Poor,"2905 Main St, California, USA",2905 Main St,California,USA
65,34.0,38903.43,Contract,2023-12-31 00:00:00.000000,2-EE-843,2,EE,843,,"7888 Main St, Florida, United Kingdom",7888 Main St,Florida,UK
66,53.0,29980.84,Part-time,2023-06-23 22:34:08.743789,4-BA-240,4,BA,240,Poor,"3671 Main St, Texas, USA",3671 Main St,Texas,USA
67,67.0,44214.91,Freelance,2023-08-23 22:34:08.743793,2-DE-714,2,DE,714,Average,"6593 Main St, New York, USA",6593 Main St,New York,USA
68,57.0,56517.54,Part-time,2023-11-30 22:34:08.743796,2-BD-565,2,BD,565,Poor,"1978 Main St, California, USA",1978 Main St,California,USA
69,21.0,53603.09,Part-time,2023-03-14 22:34:08.743800,3-DA-714,3,DA,714,Average,"7959 Main St, Florida, USA",7959 Main St,Florida,USA
70,19.0,68796.99,Part-time,2023-02-24 22:34:08.743804,2-CD-697,2,CD,697,Average,"1475 Main St, Canada",1475 Main St,Canada,
71,23.0,61848.8,Part-time,2023-09-08 22:34:08.743807,2-CA-168,2,CA,168,Poor,"3927 Main St, Illinois, USA",3927 Main St,Illinois,USA
72,59.0,64543.54,Contract,2023-04-30 22:34:08.743811,5-BA-405,5,BA,405,Good,"9738 Main St, New York, USA",9738 Main St,New York,USA
73,21.0,54902.83,Freelance,2023-12-31 00:00:00.000000,4-CA-868,4,CA,868,Good,"259 Main St, Texas, Australia",259 Main St,Texas,
74,46.0,29160.52,Contract,2023-07-19 22:34:08.743819,1-AE-301,1,AE,301,Poor,"4870 Main St, Illinois, Australia",4870 Main St,Illinois,
75,35.0,47064.52,Contract,2023-11-29 22:34:08.743823,2-ED-434,2,ED,434,Poor,"7686 Main St, Illinois, United Kingdom",7686 Main St,Illinois,UK
76,43.0,65901.35,Contract,2023-07-11 22:34:08.743826,3-ED-525,3,ED,525,,"7340 Main St, Texas, USA",7340 Main St,Texas,USA
77,61.0,49227.16,Part-time,2023-12-10 22:34:08.743830,3-ED-300,3,ED,300,,"1514 Main St, New York, United Kingdom",1514 Main St,New York,UK
78,51.0,57546.36,Full-time,2024-01-20 22:34:08.743834,4-ED-170,4,ED,170,Poor,"5351 Main St, New York, United Kingdom",5351 Main St,New York,UK
79,27.0,45218.78,Part-time,2023-04-01 22:34:08.743838,4-AB-386,4,AB,386,Good,"2961 Main St, New York, Australia",2961 Main St,New York,
80,53.0,34552.82,Contract,2023-08-13 22:34:08.743842,2-CC-483,2,CC,483,,"7728 Main St, New York, Australia",7728 Main St,New York,
81,31.0,48149.84,Part-time,2023-03-20 22:34:08.743845,5-ED-531,5,ED,531,,"2755 Main St, New York, Canada",2755 Main St,New York,Canada
82,48.0,54635.71,Freelance,2023-03-01 22:34:08.743851,2-CB-593,2,CB,593,Good,"4304 Main St, California, Australia",4304 Main St,California,
83,65.0,40164.68,Freelance,2024-01-14 22:34:08.743854,1-CA-227,1,CA,227,Poor,"9696 Main St, Florida, USA",9696 Main St,Florida,USA
84,32.0,46464.33,Part-time,2024-01-27 22:34:08.743858,5-CA-242,5,CA,242,Good,"5856 Main St, New York, USA",5856 Main St,New York,USA
85,25.0,35908.05,Part-time,2023-05-24 22:34:08.743861,3-CB-607,3,CB,607,Average,"185 Main St, Texas, United Kingdom",185 Main St,Texas,UK
86,31.0,66788.67,Full-time,2023-11-23 22:34:08.743865,1-CE-748,1,CE,748,,"1474 Main St, Texas, Canada",1474 Main St,Texas,Canada
87,40.0,45583.16,Part-time,2024-01-13 22:34:08.743869,2-BB-923,2,BB,923,,"6192 Main St, Florida, USA",6192 Main St,Florida,USA
88,57.0,71791.33,Part-time,2023-12-24 22:34:08.743872,3-AC-610,3,AC,610,,"544 Main St, New York, Canada",544 Main St,New York,Canada
89,38.0,72931.22,Full-time,2023-03-13 22:34:08.743875,2-CB-570,2,CB,570,Good,"3864 Main St, New York, Australia",3864 Main St,New York,
90,33.0,49936.97,Part-time,2023-05-31 22:34:08.743879,1-CA-555,1,CA,555,Good,"1585 Main St, Florida, Canada",1585 Main St,Florida,Canada
91,43.0,34873.27,Part-time,2024-01-10 22:34:08.743882,5-DA-325,5,DA,325,Poor,"3989 Main St, California, USA",3989 Main St,California,USA
92,43.0,18711.53,Part-time,2023-02-25 22:34:08.743885,1-EB-394,1,EB,394,,"6165 Main St, California, USA",6165 Main St,California,USA
93,64.0,49936.97,Part-time,2023-09-08 22:34:08.743888,1-EB-424,1,EB,424,Average,"3235 Main St, California, United Kingdom",3235 Main St,California,UK
94,41.0,29392.48,Part-time,2023-05-20 22:34:08.743892,3-CB-186,3,CB,186,Poor,"4621 Main St, Illinois, United Kingdom",4621 Main St,Illinois,UK
95,43.0,70677.04,Contract,2023-08-14 22:34:08.743897,1-ED-927,1,ED,927,Good,"2893 Main St, New York, USA",2893 Main St,New York,USA
96,42.0,49936.97,Part-time,2023-07-22 22:34:08.743900,1-DD-216,1,DD,216,Average,"5014 Main St, Illinois, Australia",5014 Main St,Illinois,
97,62.0,55844.07,Full-time,2023-12-31 00:00:00.000000,5-AB-617,5,AB,617,Poor,"8249 Main St, Australia",8249 Main St,Australia,
98,58.0,49936.97,Part-time,2023-12-31 00:00:00.000000,1-AA-942,1,AA,942,Good,"3036 Main St, Texas, USA",3036 Main St,Texas,USA
99,46.0,32030.5,Contract,2023-12-31 00:00:00.000000,2-DE-321,2,DE,321,Average,"1124 Main St, Texas, United Kingdom",1124 Main St,Texas,UK
100,32.0,63306.2,Full-time,2023-11-20 22:34:08.743914,2-AA-603,2,AA,603,Poor,"5611 Main St, Florida, USA",5611 Main St,Florida,USA
101,62.0,54301.61,Full-time,2023-10-11 22:34:08.743917,2-CB-747,2,CB,747,Average,"8466 Main St, Florida, Canada",8466 Main St,Florida,Canada
102,18.0,47791.92,Part-time,2023-06-30 22:34:08.743921,5-DC-524,5,DC,524,Good,"9613 Main St, Illinois, USA",9613 Main St,Illinois,USA
103,42.0,58472.64,Freelance,2023-12-14 22:34:08.743925,5-DC-705,5,DC,705,Poor,"8654 Main St, Texas, USA",8654 Main St,Texas,USA
104,24.0,74536.97,Contract,2024-01-16 22:34:08.743928,4-DE-736,4,DE,736,Good,"8572 Main St, California, United Kingdom",8572 Main St,California,UK
105,26.0,46684.36,Freelance,2023-07-24 22:34:08.743931,4-CE-130,4,CE,130,,"3515 Main St, Illinois, USA",3515 Main St,Illinois,USA
106,41.0,51040.55,Part-time,2023-09-07 22:34:08.743935,1-DC-372,1,DC,372,,"2176 Main St, Florida, United Kingdom",2176 Main St,Florida,UK
107,18.0,52888.95,Contract,2023-12-31 22:34:08.743938,4-AD-820,4,AD,820,Average,"486 Main St, New York, USA",486 Main St,New York,USA
108,61.0,85881.64,Freelance,2023-04-30 22:34:08.743942,4-DB-661,4,DB,661,,"5716 Main St, USA",5716 Main St,USA,
109,25.0,49936.97,Contract,2023-08-28 22:34:08.743945,1-BE-753,1,BE,753,Good,"4609 Main St, Illinois, USA",4609 Main St,Illinois,USA
110,41.0,60248.35,Part-time,2023-11-15 22:34:08.743948,4-EC-466,4,EC,466,Average,"8749 Main St, Florida, USA",8749 Main St,Florida,USA
111,28.0,48277.97,Contract,2023-08-15 22:34:08.743951,2-BD-892,2,BD,892,Poor,"1551 Main St, Florida, United Kingdom",1551 Main St,Florida,UK
112,68.0,58501.58,Part-time,2023-05-24 22:34:08.743955,1-EE-422,1,EE,422,Good,"9625 Main St, Australia",9625 Main St,Australia,
113,34.0,40139.41,Freelance,2023-03-09 22:34:08.743958,5-CA-841,5,CA,841,Poor,"1887 Main St, Illinois, USA",1887 Main St,Illinois,USA
114,25.0,49265.52,Contract,2023-09-20 22:34:08.743962,2-EB-131,2,EB,131,Poor,"2090 Main St, Florida, Australia",2090 Main St,Florida,
115,52.0,60671.16,Full-time,2023-07-15 22:34:08.743965,2-EC-303,2,EC,303,Poor,"7229 Main St, Illinois, Australia",7229 Main St,Illinois,
116,52.0,96693.65,Part-time,2023-11-03 22:34:08.743969,1-EA-534,1,EA,534,Poor,"460 Main St, Texas, USA",460 Main St,Texas,USA
117,50.0,62120.54,Contract,2023-07-13 22:34:08.743972,4-DA-695,4,DA,695,Good,"9409 Main St, California, USA",9409 Main St,California,USA
118,22.0,37279.02,Full-time,2023-04-03 22:34:08.743976,4-CE-762,4,CE,762,,"9441 Main St, Florida, Australia",9441 Main St,Florida,
119,59.0,43643.6,Full-time,2023-10-22 22:34:08.743979,2-AA-126,2,AA,126,Good,"911 Main St, Florida, Australia",911 Main St,Florida,
120,56.0,43198.79,Full-time,2023-04-17 22:34:08.743983,2-CC-895,2,CC,895,,"3138 Main St, Florida, Australia",3138 Main St,Florida,
121,58.0,23065.35,Full-time,2023-10-25 22:34:08.743986,1-BA-335,1,BA,335,Poor,"1515 Main St, New York, United Kingdom",1515 Main St,New York,UK
122,45.0,49936.97,Part-time,2024-01-03 22:34:08.743990,3-AA-212,3,AA,212,,"4194 Main St, Illinois, USA",4194 Main St,Illinois,USA
123,24.0,60992.44,Contract,2023-06-08 22:34:08.743993,5-DB-602,5,DB,602,Poor,"6111 Main St, Florida, USA",6111 Main St,Florida,USA
124,26.0,49936.97,Full-time,2023-05-13 22:34:08.743997,5-DE-244,5,DE,244,Average,"2985 Main St, Florida, USA",2985 Main St,Florida,USA
125,25.0,65727.24,Contract,2023-07-24 22:34:08.744000,3-AA-866,3,AA,866,Poor,"5007 Main St, Florida, Australia",5007 Main St,Florida,
126,29.0,57316.62,Contract,2023-12-31 00:00:00.000000,5-CB-876,5,CB,876,,"2410 Main St, Florida, USA",2410 Main St,Florida,USA
127,51.0,38986.5,Freelance,2023-08-09 22:34:08.744006,3-AB-606,3,AB,606,Average,"2513 Main St, California, USA",2513 Main St,California,USA
128,50.0,47877.06,Contract,2023-08-30 22:34:08.744010,5-DB-396,5,DB,396,Average,"1013 Main St, USA",1013 Main St,USA,
129,65.0,73974.83,Part-time,2023-09-07 22:34:08.744013,2-DC-511,2,DC,511,Poor,"6770 Main St, Florida, USA",6770 Main St,Florida,USA
130,40.0,61003.22,Part-time,2023-12-10 22:34:08.744016,1-EC-683,1,EC,683,Good,"9175 Main St, Texas, Canada",9175 Main St,Texas,Canada
131,41.0,50131.75,Full-time,2023-12-22 22:34:08.744020,3-ED-594,3,ED,594,,"2182 Main St, Texas, United Kingdom",2182 Main St,Texas,UK
132,54.0,46434.75,Contract,2023-12-31 00:00:00.000000,4-ED-584,4,ED,584,Average,"1152 Main St, USA",1152 Main St,USA,
133,52.0,51149.14,Part-time,2023-03-06 22:34:08.744026,5-CA-328,5,CA,328,Good,"6136 Main St, USA",6136 Main St,USA,
134,61.0,42323.55,Part-time,2023-07-14 22:34:08.744029,5-ED-548,5,ED,548,Poor,"1409 Main St, Texas, USA",1409 Main St,Texas,USA
135,57.0,18428.76,Part-time,2023-03-01 22:34:08.744033,1-BA-758,1,BA,758,Poor,"8334 Main St, California, USA",8334 Main St,California,USA
136,39.0,80632.67,Full-time,2023-12-28 22:34:08.744036,4-CB-228,4,CB,228,Poor,"4567 Main St, Florida, USA",4567 Main St,Florida,USA
137,44.0,52329.87,Part-time,2023-05-01 22:34:08.744039,4-CB-861,4,CB,861,Poor,"8601 Main St, Florida, Canada",8601 Main St,Florida,Canada
138,52.0,55972.21,Contract,2023-03-23 22:34:08.744042,4-BD-504,4,BD,504,,"7109 Main St, Florida, United Kingdom",7109 Main St,Florida,UK
139,18.0,49131.38,Part-time,2023-11-09 22:34:08.744045,4-BB-635,4,BB,635,Average,"7778 Main St, Texas, Canada",7778 Main St,Texas,Canada
140,52.0,38973.25,Part-time,2023-07-19 22:34:08.744048,5-ED-874,5,ED,874,,"229 Main St, Florida, Canada",229 Main St,Florida,Canada
141,54.0,47211.13,Full-time,2023-12-31 00:00:00.000000,1-BB-794,1,BB,794,Average,"6735 Main St, California, Australia",6735 Main St,California,
142,64.0,26009.08,Contract,2023-09-20 22:34:08.744055,3-CD-258,3,CD,258,Good,"8741 Main St, New York, United Kingdom",8741 Main St,New York,UK
143,31.0,84156.3,Part-time,2023-12-31 00:00:00.000000,5-AE-699,5,AE,699,Good,"5372 Main St, Florida, Australia",5372 Main St,Florida,
144,20.0,31482.32,Contract,2024-02-11 22:34:08.744061,3-EE-794,3,EE,794,Average,"7531 Main St, Illinois, USA",7531 Main St,Illinois,USA
145,18.0,34520.51,Contract,2023-07-25 22:34:08.744064,5-DC-909,5,DC,909,Poor,"8496 Main St, Texas, United Kingdom",8496 Main St,Texas,UK
146,22.0,43396.11,Part-time,2023-08-24 22:34:08.744067,5-BC-509,5,BC,509,Good,"3923 Main St, Illinois, United Kingdom",3923 Main St,Illinois,UK
147,43.0,49936.97,Full-time,2024-01-12 22:34:08.744070,4-AC-968,4,AC,968,,"311 Main St, Illinois, USA",311 Main St,Illinois,USA
148,31.0,50217.63,Contract,2023-09-22 22:34:08.744073,5-CD-103,5,CD,103,Average,"8716 Main St, California, USA",8716 Main St,California,USA
149,43.0,31457.96,Freelance,2023-07-09 22:34:08.744076,4-AA-366,4,AA,366,Good,"447 Main St, Florida, USA",447 Main St,Florida,USA
150,44.0,68815.08,Part-time,2023-04-30 22:34:08.744080,1-DB-292,1,DB,292,Average,"5089 Main St, Illinois, USA",5089 Main St,Illinois,USA
151,26.0,60965.01,Contract,2023-11-26 22:34:08.744084,2-EA-200,2,EA,200,Poor,"1730 Main St, California, USA",1730 Main St,California,USA
152,32.0,58076.52,Contract,2024-01-22 22:34:08.744087,3-CB-749,3,CB,749,Average,"1559 Main St, Florida, United Kingdom",1559 Main St,Florida,UK
153,32.0,60736.01,Contract,2023-12-31 00:00:00.000000,3-BA-552,3,BA,552,Good,"379 Main St, Texas, USA",379 Main St,Texas,USA
154,43.0,85915.43,Part-time,2023-11-14 22:34:08.744093,2-BA-239,2,BA,239,Average,"8038 Main St, New York, Canada",8038 Main St,New York,Canada
155,43.0,82776.42,Freelance,2023-11-16 22:34:08.744096,4-EA-413,4,EA,413,Good,"9784 Main St, Texas, United Kingdom",9784 Main St,Texas,UK
156,30.0,39699.27,Contract,2023-03-09 22:34:08.744099,4-CB-183,4,CB,183,Good,"345 Main St, Illinois, Australia",345 Main St,Illinois,
157,68.0,74358.27,Contract,2023-08-05 22:34:08.744102,4-CC-289,4,CC,289,Good,"7928 Main St, Florida, United Kingdom",7928 Main St,Florida,UK
158,49.0,55747.52,Full-time,2023-02-19 22:34:08.744106,5-EE-224,5,EE,224,,"3620 Main St, Illinois, United Kingdom",3620 Main St,Illinois,UK
159,56.0,57486.44,Part-time,2023-03-16 22:34:08.744109,1-EA-685,1,EA,685,Poor,"7137 Main St, California, Canada",7137 Main St,California,Canada
160,66.0,24615.94,Part-time,2023-12-31 00:00:00.000000,3-CE-494,3,CE,494,Poor,"2243 Main St, Illinois, USA",2243 Main St,Illinois,USA
161,69.0,47444.21,Contract,2023-10-07 22:34:08.744115,1-DD-704,1,DD,704,Average,"5211 Main St, California, USA",5211 Main St,California,USA
162,49.0,37807.65,Full-time,2023-12-31 00:00:00.000000,2-AE-166,2,AE,166,Average,"3020 Main St, Florida, Australia",3020 Main St,Florida,
163,21.0,62420.88,Contract,2023-12-22 22:34:08.744121,1-CE-880,1,CE,880,Good,"9161 Main St, Florida, USA",9161 Main St,Florida,USA
164,47.0,66066.21,Contract,2023-06-02 22:34:08.744124,1-AE-962,1,AE,962,Poor,"3293 Main St, Texas, USA",3293 Main St,Texas,USA
165,54.0,18882.7,Part-time,2023-06-28 22:34:08.744127,4-BB-492,4,BB,492,Average,"5546 Main St, Illinois, United Kingdom",5546 Main St,Illinois,UK
166,40.0,49936.97,Full-time,2023-12-31 00:00:00.000000,3-DA-290,3,DA,290,Average,"3760 Main St, Texas, Australia",3760 Main St,Texas,
167,56.0,66827.92,Contract,2023-12-25 22:34:08.744134,1-CD-316,1,CD,316,Poor,"6371 Main St, California, Australia",6371 Main St,California,
168,62.0,47199.82,Part-time,2023-12-25 22:34:08.744137,5-EE-539,5,EE,539,Good,"1483 Main St, Illinois, United Kingdom",1483 Main St,Illinois,UK
169,32.0,60935.95,Contract,2023-12-17 22:34:08.744141,2-DC-677,2,DC,677,Average,"7072 Main St, California, Australia",7072 Main St,California,
170,60.0,55267.48,Contract,2023-02-27 22:34:08.744144,4-DA-753,4,DA,753,Good,"8661 Main St, New York, USA",8661 Main St,New York,USA
171,46.0,55124.9,Full-time,2023-03-19 22:34:08.744147,2-BE-463,2,BE,463,Poor,"7631 Main St, Texas, USA",7631 Main St,Texas,USA
172,53.0,45930.28,Full-time,2023-03-08 22:34:08.744150,5-CC-417,5,CC,417,Poor,"6961 Main St, Florida, United Kingdom",6961 Main St,Florida,UK
173,30.0,31751.29,Full-time,2023-08-06 22:34:08.744153,4-DC-841,4,DC,841,Average,"6278 Main St, California, USA",6278 Main St,California,USA
174,49.0,33177.05,Contract,2023-06-11 22:34:08.744156,5-BE-245,5,BE,245,Average,"1634 Main St, California, USA",1634 Main St,California,USA
175,24.0,60640.29,Freelance,2024-01-01 22:34:08.744160,3-ED-165,3,ED,165,Poor,"725 Main St, Texas, USA",725 Main St,Texas,USA
176,68.0,50291.87,Full-time,2023-06-05 22:34:08.744163,5-BC-801,5,BC,801,Good,"202 Main St, New York, USA",202 Main St,New York,USA
177,39.0,47922.32,Freelance,2023-08-18 22:34:08.744166,1-CC-814,1,CC,814,Good,"5035 Main St, Illinois, USA",5035 Main St,Illinois,USA
178,45.0,43641.65,Freelance,2023-12-03 22:34:08.744169,1-AB-868,1,AB,868,,"7456 Main St, Texas, USA",7456 Main St,Texas,USA
179,19.0,45422.17,Freelance,2023-10-27 22:34:08.744172,1-DE-270,1,DE,270,Poor,"2984 Main St, Florida, Canada",2984 Main St,Florida,Canada
